date,open,close
2017-02-26,1,1
2017-02-25,0.999998,1
2017-02-24,0.999997,0.999998
2017-02-23,0.999971,0.999997
2017-02-22,0.999771,0.999967
2017-02-21,0.999997,0.99976
2017-02-20,0.999897,0.999997
2017-02-19,1,0.999898
2017-02-18,1,1
2017-02-17,1,1
2017-02-16,1,1
2017-02-15,1,1
2017-02-14,1,1
2017-02-13,0.999999,1
2017-02-12,0.999999,0.999999
2017-02-11,0.999999,0.999999
2017-02-10,0.999999,0.999999
2017-02-09,0.999999,0.999999
2017-02-08,0.999999,0.999999
2017-02-07,0.999998,0.999999
2017-02-06,0.999999,0.999998
2017-02-05,0.999999,0.999999
2017-02-04,0.999998,0.999999
2017-02-03,0.999994,0.999998
2017-02-02,0.999999,0.999994
2017-02-01,0.999997,0.999999
2017-01-31,1,0.999997
2017-01-30,1,1
2017-01-29,1,1
2017-01-28,1,1
2017-01-27,1,1
2017-01-26,1,1
2017-01-25,1,1
2017-01-24,1,1
2017-01-23,1,1
2017-01-22,1,1
2017-01-21,1,1
2017-01-20,1,1
2017-01-19,1,1
2017-01-18,1,1
2017-01-17,1,1
2017-01-16,1,1
2017-01-15,1,1
2017-01-14,1,1
2017-01-13,1,1
2017-01-12,1,1
2017-01-11,1,1
2017-01-10,1,1
2017-01-09,1,1
2017-01-08,1,1
2017-01-07,1,1
2017-01-06,1,1
2017-01-05,1,1
2017-01-04,1,1
2017-01-03,1,1
2017-01-02,1,1
2017-01-01,1,1
2016-12-31,1,1
2016-12-30,1,1
2016-12-29,1,1
2016-12-28,1,1
2016-12-27,1,1
2016-12-26,1,1
2016-12-25,1,1
2016-12-24,1,1
2016-12-23,1,1
2016-12-22,1,1
2016-12-21,1,1
2016-12-20,1,1
2016-12-19,1,1
2016-12-18,1,1
2016-12-17,1,1
2016-12-16,1,1
2016-12-15,1,1
2016-12-14,1,1
2016-12-13,1,1
2016-12-12,1,1
2016-12-11,1,1
2016-12-10,1,1
2016-12-09,1,1
2016-12-08,1,1
2016-12-07,1,1
2016-12-06,1,1
2016-12-05,1,1
2016-12-04,1,1
2016-12-03,1,1
2016-12-02,1,1
2016-12-01,1,1
2016-11-30,1,1
2016-11-29,1,1
2016-11-28,1,1
2016-11-27,1,1
2016-11-26,1,1
2016-11-25,1,1
2016-11-24,1,1
2016-11-23,1,1
2016-11-22,1,1
2016-11-21,1,1
2016-11-20,1,1
2016-11-19,1,1
2016-11-18,1,1
2016-11-17,1,1
2016-11-16,1,1
2016-11-15,1,1
2016-11-14,1,1
2016-11-13,1,1
2016-11-12,1,1
2016-11-11,0.999997,1
2016-11-10,1,0.999997
2016-11-09,1,1
2016-11-08,1,1
2016-11-07,1,1
2016-11-06,1,1
2016-11-05,1,1
2016-11-04,1,1
2016-11-03,1,1
2016-11-02,1,1
2016-11-01,1,1
2016-10-31,1,1
2016-10-30,1,1
2016-10-29,1,1
2016-10-28,1,1
2016-10-27,1,1
2016-10-26,1,1
2016-10-25,1,1
2016-10-24,1,1
2016-10-23,1,1
2016-10-22,1,1
2016-10-21,1,1
2016-10-20,1,1
2016-10-19,1,1
2016-10-18,1,1
2016-10-17,1,1
2016-10-16,1,1
2016-10-15,0.999999,1
2016-10-14,1,0.999999
2016-10-13,1,1
2016-10-12,1,1
2016-10-11,1,1
2016-10-10,1,1
2016-10-09,1,1
2016-10-08,1,1
2016-10-07,1,1
2016-10-06,1,1
2016-10-05,1,1
2016-10-04,0.999998,1
2016-10-03,0.999998,0.999998
2016-10-02,1,0.999998
2016-10-01,1,1
2016-09-30,1,1
2016-09-29,1,1
2016-09-28,1,1
2016-09-27,1,1
2016-09-26,1,1
2016-09-25,0.999999,1
2016-09-24,0.999999,0.999999
2016-09-23,0.999999,0.999999
2016-09-22,0.999989,0.999999
2016-09-21,0.999999,0.999988
2016-09-20,0.999999,0.999999
2016-09-19,0.999923,0.999999
2016-09-18,0.999999,0.999923
2016-09-17,0.999999,0.999999
2016-09-16,0.999993,0.999999
2016-09-15,1,0.999993
2016-09-14,1,1
2016-09-13,1,1
2016-09-12,1,1
2016-09-11,1,1
2016-09-10,1,1
2016-09-09,1,1
2016-09-08,1,1
2016-09-07,1,1
2016-09-06,1,1
2016-09-05,1,1
2016-09-04,1,1
2016-09-03,1,1
2016-09-02,1,1
2016-09-01,1,1
2016-08-31,1,1
2016-08-30,1,1
2016-08-29,1,1
2016-08-28,1,1
2016-08-27,1,1
2016-08-26,1,1
2016-08-25,1,1
2016-08-24,1,1
2016-08-23,1,1
2016-08-22,1,1
2016-08-21,1,1
2016-08-20,1,1
2016-08-19,1,1
2016-08-18,1,1
2016-08-17,1,1
2016-08-16,0.999999,1
2016-08-15,0.999999,0.999999
2016-08-14,0.999999,0.999999
2016-08-13,0.962058,0.999999
2016-08-12,0.962372,0.962058
2016-08-11,0.973424,0.962375
2016-08-10,0.999557,0.97356
2016-08-09,0.999557,0.999557
2016-08-08,0.999557,0.999557
2016-08-07,0.999557,0.999557
2016-08-06,0.999831,0.999557
2016-08-05,0.999996,0.999833
2016-08-04,0.999996,0.999996
2016-08-03,0.999995,0.999996
